利率事件日期,動作,轉折類型,利率,事件,進場時機,進場目標日期,實際進場日,進場價格,6個月報酬率(%),6個月出場日,6個月出場價格,12個月報酬率(%),12個月出場日,12個月出場價格
2000-07-01,hike,升息啟動,6.54,升息啟動（利率 6.54%）,轉折前3個月,2000-04-01,2000-04-03,1505.969970703125,-4.630901783640084,2000-10-02,1436.22998046875,-26.52841806527504,2001-04-03,1106.4599609375
2000-07-01,hike,升息啟動,6.54,升息啟動（利率 6.54%）,轉折當月,2000-07-01,2000-07-03,1469.5400390625,-12.67539601371337,2001-01-02,1283.27001953125,-15.997528590007104,2001-07-03,1234.449951171875
2000-07-01,hike,升息啟動,6.54,升息啟動（利率 6.54%）,轉折後3個月,2000-10-01,2000-10-02,1436.22998046875,-20.21681689563367,2001-04-02,1145.8699951171875,-26.799330862626935,2001-10-02,1051.3299560546875
2000-09-01,hike,升息暫停,6.52,升息暫停（利率 6.52%）,轉折前3個月,2000-06-01,2000-06-01,1448.81005859375,-7.780184303996784,2000-11-28,1336.0899658203125,-12.985830235817852,2001-06-01,1260.6700439453125
2000-09-01,hike,升息暫停,6.52,升息暫停（利率 6.52%）,轉折當月,2000-09-01,2000-09-01,1520.77001953125,-18.466308154309928,2001-02-28,1239.93994140625,-25.502217504560065,2001-09-04,1132.93994140625
2000-09-01,hike,升息暫停,6.52,升息暫停（利率 6.52%）,轉折後3個月,2000-12-01,2000-12-01,1315.22998046875,-5.105572820818005,2001-05-30,1248.0799560546875,-14.091068391600658,2001-12-03,1129.9000244140625
2001-01-01,cut,降息啟動,5.98,降息啟動（利率 5.98%）,轉折前3個月,2000-10-01,2000-10-02,1436.22998046875,-20.21681689563367,2001-04-02,1145.8699951171875,-26.799330862626935,2001-10-02,1051.3299560546875
2001-01-01,cut,降息啟動,5.98,降息啟動（利率 5.98%）,轉折當月,2001-01-01,2001-01-02,1283.27001953125,-3.627455494139009,2001-07-02,1236.719970703125,-10.021271722136248,2002-01-02,1154.6700439453125
2001-01-01,cut,降息啟動,5.98,降息啟動（利率 5.98%）,轉折後3個月,2001-04-01,2001-04-02,1145.8699951171875,-9.365804737568585,2001-10-01,1038.550048828125,-0.7950278295428159,2002-04-02,1136.760009765625
2002-03-01,cut,降息暫停,1.73,降息暫停（利率 1.73%）,轉折前3個月,2001-12-01,2001-12-03,1129.9000244140625,-7.896271243059072,2002-06-03,1040.6800537109375,-18.51048941454111,2002-12-03,920.75
2002-03-01,cut,降息暫停,1.73,降息暫停（利率 1.73%）,轉折當月,2002-03-01,2002-03-01,1131.780029296875,-18.900318846638452,2002-08-28,917.8699951171875,-26.23920055585144,2003-03-03,834.8099975585938
2002-03-01,cut,降息暫停,1.73,降息暫停（利率 1.73%）,轉折後3個月,2002-06-01,2002-06-03,1040.6800537109375,-10.200063317783837,2002-12-02,934.530029296875,-6.641816176438676,2003-06-03,971.5599975585938
2002-11-01,cut,降息啟動,1.34,降息啟動（利率 1.34%）,轉折前3個月,2002-08-01,2002-08-01,884.6599731445312,-2.9525462788085433,2003-01-28,858.5399780273438,10.793983470294366,2003-08-01,980.1500244140625
2002-11-01,cut,降息啟動,1.34,降息啟動（利率 1.34%）,轉折當月,2002-11-01,2002-11-01,900.9600219726562,1.7714394144321188,2003-04-30,916.9199829101562,17.543508446969792,2003-11-03,1059.02001953125
2002-11-01,cut,降息啟動,1.34,降息啟動（利率 1.34%）,轉折後3個月,2003-02-01,2003-02-03,860.3200073242188,14.238887734460759,2003-08-04,982.8200073242188,32.04738000109681,2004-02-03,1136.030029296875
2003-02-01,cut,降息暫停,1.26,降息暫停（利率 1.26%）,轉折前3個月,2002-11-01,2002-11-01,900.9600219726562,1.7714394144321188,2003-04-30,916.9199829101562,17.543508446969792,2003-11-03,1059.02001953125
